Below LOD,Cell,Element,Distance
0,1,MO,146.24878836833602
0,0,MO,97.20602917094236
0,1,SE,152.49372216686356
0,0,SE,65.99633208314879
0,1,ZN,207.7879452506475
0,0,ZN,159.62769287142305
0,1,CU,181.91922455573504
0,0,CU,84.71728594507266
1,1,NI,125.73828756058157
0,0,NI,80.25848142164779
1,1,CO,91.85137318255249
0,0,CO,85.61369131181726
0,1,FE,214.91437802907916
0,0,FE,146.25150712631125
0,1,MN,171.22041597778912
0,0,MN,86.50540433800751
0,1,CR,126.63004846526655
0,0,CR,137.3340746185787
0,1,V,82.04200323101776
0,0,V,123.9547657512116
0,1,CA,206.8885298869144
0,0,CA,204.21324717285944
0,1,K,313.8998384491115
0,0,K,281.7964458804523
0,1,MG,297.8481421647819
0,0,MG,199.75643317725053
0,0,Scale,353.14
