Additive,Growth rate,Nitrate,Molybdenum
+/-,1.2504014425287362,+,-
+/-,1.3322956127896701,+,-
+/-,1.173670325504278,+,-
+/1,1.3170361485066089,+,1
+/1,1.36750850638088,+,1
+/1,1.2680959484802166,+,1
+/2,1.5640458538914053,+,2
+/2,1.4821388655527405,+,2
+/2,1.6520334239596057,+,2
+/3,1.4382926811266554,+,3
+/3,1.467211069906445,+,3
+/3,1.3695069942168885,+,3
-/-,1.0335636199096752,-,-
-/-,1.1148490145339438,-,-
-/-,0.9975389326579517,-,-
-/2,1.4243458910633011,-,2
-/2,1.5529228675548328,-,2
-/2,1.2061478868833284,-,2
